line	reasons
định công - vành đại 2. 5	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
75 - trần anh tông quy - bình định	1:gach_noi_giua_cap
đường trần lê, đà lạt	4:duoi_32_ky_tu
xã ea wer	4:duoi_32_ky_tu
63 - đông du - quận 1 - hồ chí minh	1:gach_noi_giua_cap
trần thủ độ, tân phú	4:duoi_32_ky_tu
đường nguyễn thái học, quận 1	4:duoi_32_ky_tu
Xuân Đỉnh - Bắc Từ Liêm - Hà Nội	1:gach_noi_giua_cap
xo việt nghệ tỉnh - bình thạnh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Nguyễn Siêu Đà Lạt	4:duoi_32_ky_tu
đường bàu cát doi - phường 14 - tân bình - hồ chí minh	1:gach_noi_giua_cap
phố phùng hưng, đan phượng	4:duoi_32_ky_tu
Phố 29 - Gò Vấp - Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
the hyco4 tower - phố nguyễn xi hồ chí minh	1:gach_noi_giua_cap
số 4c - bình chánh - hồ chí minh	1:gach_noi_giua_cap
ngõ 203 hoàng quốc việt - cầu giấy	1:gach_noi_giua_cap
134 Lê Minh Xuân, Tân Bình	4:duoi_32_ky_tu
trịnh đình trọng quận 11	4:duoi_32_ky_tu
đường dinh nghệ -  - đà nẵng	0:thieu_dau_sai_chinh_ta[đường dinh] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
2c - trần khánh dư - quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường trung dũng biên hòa dn	4:duoi_32_ky_tu
Dự án Căn hộ 8X Thái An - Gò Vấp - Sài Gòn	1:gach_noi_giua_cap
đường phạm ngọc thạch đống đa	4:duoi_32_ky_tu
172 phạm như xương hòa khánh	4:duoi_32_ky_tu
tứ liên tây hồ hà nội	4:duoi_32_ky_tu
đường cây cám bình tân	4:duoi_32_ky_tu
đường 7 đắk lắk	4:duoi_32_ky_tu
phố 24 - thủ đức - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
5M Đường Trần Quang Cơ Tân Phú	4:duoi_32_ky_tu
Ma May	3:keyword_la_toan_so | 4:duoi_32_ky_tu
dx 083 thủ dầu một bình dương	4:duoi_32_ky_tu
đường phú thuận - quận 7 - tp hồ chí minh	1:gach_noi_giua_cap
đường trần văn nam - long an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường tây nam - nha trang - khánh hòa	1:gach_noi_giua_cap
thanh oai hà nội	4:duoi_32_ky_tu
Duyên Thái - Quốc lộ 1A - Thường Tín - Hà Nội	1:gach_noi_giua_cap
investco babylon - phường tân thành - đường âu cơ - tân phú	1:gach_noi_giua_cap
Xã Long Phước Đồng Nai	4:duoi_32_ky_tu
cao điển, thanh hóa	4:duoi_32_ky_tu
đường 141	4:duoi_32_ky_tu
91 Nguyễn An Ninh - Hoàng Mai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
21 - 5719	3:keyword_la_toan_so | 4:duoi_32_ky_tu
Điện An	4:duoi_32_ky_tu
căn hộ 303, b3	4:duoi_32_ky_tu
dự án dầu giây center city - thống nhất - đồng nai	1:gach_noi_giua_cap
đường dã tượng hoàn kiếm hà nội	4:duoi_32_ky_tu
đường lê lộ - sơn trà	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
trảng dài đường 768b đồng nai	4:duoi_32_ky_tu
đường khương thượng	4:duoi_32_ky_tu
đường quảng minh - hà đông - hà nội	1:gach_noi_giua_cap
đường thới an 17 - quận 12	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án the park avenue - lý thường kiệt - phường 15 - quận 11 - hồ chí minh	1:gach_noi_giua_cap
Dự án Vinhomes Riverside - Đường Anh Đào - Long Biên	1:gach_noi_giua_cap
hoàng diệu 2	4:duoi_32_ky_tu
phường 4 - hiep nhat - tân bình - hồ chí minh	0:thieu_dau_sai_chinh_ta[hiep,nhat,phường hiep] | 1:gach_noi_giua_cap
khu đỗ thị geleximco - lê trọng tấn hà đông hà nội	1:gach_noi_giua_cap
Hưng Phú - Ninh Kiều - Cần Thơ	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phố 14, gò vấp, hồ chí minh	4:duoi_32_ky_tu
9 view apartment	3:keyword_la_toan_so | 4:duoi_32_ky_tu
đường bình tiên, hồ chí minh	4:duoi_32_ky_tu
424/ 9a ong ich khiêm - thanh khê - đà nẵng	0:thieu_dau_sai_chinh_ta[ich] | 1:gach_noi_giua_cap
lê đức thọ - phường mỹ đình 2 - nam từ liêm - hà nội	1:gach_noi_giua_cap
phú đức tx bình long bình phước	4:duoi_32_ky_tu
Đường Me Nhu - Thanh Khê - Đà Nẵng	1:gach_noi_giua_cap
đường dang tat huế	0:thieu_dau_sai_chinh_ta[tat] | 4:duoi_32_ky_tu
quận sơn trà đà nẵng	4:duoi_32_ky_tu
Vành Đai Phường 7 - Trà Vinh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nguyễn du, hoàn kiếm	4:duoi_32_ky_tu
200 quốc lộ 13, thủ đức	4:duoi_32_ky_tu
281/ 2/ 44 Bình Lợi	4:duoi_32_ky_tu
tân hương - phổ yên thái nguyên	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
tô ký quận 12 hồ chí minh	4:duoi_32_ky_tu
Phan Bá Vành Bắc Từ Liêm	4:duoi_32_ky_tu
Đường số 8 - phường 4 quận 8 Tp Hồ Chí Minh	1:gach_noi_giua_cap
bạch hạc - việt trì phú thọ	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
15 - đỗ xuân hợp quận 9 hồ chí minh	1:gach_noi_giua_cap
đường 1a kdc nam hùng vương - an lạc - hồ chí minh	1:gach_noi_giua_cap
phường hàng buồm hà nội	4:duoi_32_ky_tu
& # 272;& # 432;& # 7901;ng nguy& # 7877;n khoa chi& # 234;m - hu& # 7871	1:gach_noi_giua_cap | 3:keyword_la_toan_so
lê thanh nghị	4:duoi_32_ky_tu
Đường 16 - Linh Trung	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nguyễn kiem, phú nhuận hồ chí minh	0:thieu_dau_sai_chinh_ta[kiem,nguyễn kiem,kiem phú]
hưng lộc thống nhất	4:duoi_32_ky_tu
Dự án The Pride Lê Văn Lương Phường La Khê - Hà Đông - hà nội	1:gach_noi_giua_cap
nguyễn văn tố biên hòa đồng nai	4:duoi_32_ky_tu
Nguyễn Văn Tố Biên Hòa	4:duoi_32_ky_tu
tân phong biên hòa	4:duoi_32_ky_tu
Nguyễn Minh Hoàng, Q. Tân Bình	4:duoi_32_ky_tu
53g ngõ 25/ 7 - phố vũ ngọc phan - đống đa - hà nội	1:gach_noi_giua_cap
842A Lê Lợi Bắc Giang	4:duoi_32_ky_tu
tân lãng, lương tài, bắc ninh	4:duoi_32_ky_tu
yên vinh - hoài đức	0:thieu_dau_sai_chinh_ta[yên vinh] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
9 - Hoàng Minh Giam	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Dự án Khu đô thị mới Văn Quán Hà Đông - Hà Nội	1:gach_noi_giua_cap
ct3 tây nam lĩnh dam - hoàng mai - hà nội	1:gach_noi_giua_cap
Dự án Hùng Thái - Quận 7 - Tp Hồ Chí Minh	1:gach_noi_giua_cap
cống quỳnh - quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
ô chợ dừa tôn đức thắng hà nội	4:duoi_32_ky_tu
đường nguyễn văn ba - thủ đức - hồ chí minh	1:gach_noi_giua_cap
ngõ 80 hoằng đạo thanh	4:duoi_32_ky_tu
dự án vcn phước long - đường a4 - phường phước hải - nha trang	1:gach_noi_giua_cap
số 331 đê la thành hà nội	4:duoi_32_ky_tu
đường tỉnh lộ 10 - xã bình lợi - bình chánh	1:gach_noi_giua_cap
đường 27 thủ đức hồ chí minh	4:duoi_32_ky_tu
cửu việt 1	4:duoi_32_ky_tu
đường quốc lộ 1a - dĩ an - bình dương	1:gach_noi_giua_cap
nguyễn co thach	0:thieu_dau_sai_chinh_ta[thach] | 4:duoi_32_ky_tu
đường d2 - phường hiệp phước - nhà bè hồ chí minh	1:gach_noi_giua_cap
số 14, quận 7, hồ chí minh	4:duoi_32_ky_tu
phường phúc lợi, hà nội	4:duoi_32_ky_tu
thái sanh hanh, mỹ tho	4:duoi_32_ky_tu
phố trần phú - nha trang khánh hòa	1:gach_noi_giua_cap
Viva Riverside	3:keyword_la_toan_so | 4:duoi_32_ky_tu
nguyễn du hoàn kiếm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 6b phước bình quận 9	4:duoi_32_ky_tu
ngõ thị sy, hà đông, hà nội	4:duoi_32_ky_tu
đa kao nguyễn thị minh khai	4:duoi_32_ky_tu
đường lĩnh nam - hoàng mai - hà nội	1:gach_noi_giua_cap
đặng thái thân - hoàn kiếm - hà nội	1:gach_noi_giua_cap
nguyễn văn bứa - hóc môn	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
chợ giàu từ sơn bắc ninh	4:duoi_32_ky_tu
Đường Huỳnh Văn Bánh Phú Nhuận	4:duoi_32_ky_tu
bạch đằng lương yên	4:duoi_32_ky_tu
Đường Xã lộ Đại Han Thủ Đức	4:duoi_32_ky_tu
dự án phước long spring town - quận 9 - tp hồ chí minh	1:gach_noi_giua_cap
Dự án Chơn Thành Golden Land, Chơn Thành Bình Phước	2:trung_keyword[chơn thành]
phố pháo đài láng	4:duoi_32_ky_tu
Khu công nghiệp Phú Nghĩa	4:duoi_32_ky_tu
đường 42 - tân tạo bình tân hồ chí minh	1:gach_noi_giua_cap
tây sơn ba đình - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án vinhomes riverside hoa phường 3, phường phúc lợi, long biên	2:trung_keyword[phường phường]
tả thanh oai - cầu bươu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Bàu Mạc 3	4:duoi_32_ky_tu
Tân Lập 1, Quận 9	4:duoi_32_ky_tu
ngọc truc - xã đại mỗ hà nội	0:thieu_dau_sai_chinh_ta[truc] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án five star eco city quốc lộ 50 - cần giuộc	1:gach_noi_giua_cap
228A Phan Văn Hân Bình Thạnh - hồ chí minh	1:gach_noi_giua_cap
đường bắc ái - thủ đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bùi xương trạch - hoàng mai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
long châu, yên phong, bắc ninh	4:duoi_32_ky_tu
Đường 19/ 5 Củ Chi	4:duoi_32_ky_tu
22c đường ngô đức kế bình thạnh	4:duoi_32_ky_tu
nguyễn bá tòng - tân bình - hồ chí minh	1:gach_noi_giua_cap
đường 14 - sóc sơn	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Đường Thị Giang - Hồ Chí Minh	1:gach_noi_giua_cap | 2:trung_keyword[đường đường]
lê lợi - quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường 17, Quận 8, Hồ Chí Minh	4:duoi_32_ky_tu
đường nghĩa dũng	4:duoi_32_ky_tu
đường 138 quận 9 hồ chí minh	4:duoi_32_ky_tu
đường quốc lộ 1a, thanh trì	4:duoi_32_ky_tu
Nguyễn Hoàng, Hà Nội	4:duoi_32_ky_tu
dinh thôn nam từ liêm	4:duoi_32_ky_tu
Lê Trọng Tấn, P. Sơn Kỳ	4:duoi_32_ky_tu
50 - Đồng Xoài - Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bình gia - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
số 12 hiệp bình phước - thủ đức - hồ chí minh	1:gach_noi_giua_cap
đinh bộ lĩnh - phường 2 mỹ tho - tiền giang	1:gach_noi_giua_cap
Lê Hồng Phong, Hà Đông, Hà Nội	4:duoi_32_ky_tu
phạm thieu sơn trà	4:duoi_32_ky_tu
dự án trung sơn - đường 1 - xã bình hưng - bình chánh - hồ chí minh	1:gach_noi_giua_cap
Veranda Vũng Tàu	4:duoi_32_ky_tu
D5 - Thuận An	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 1 hóc môn	4:duoi_32_ky_tu
đường 15 thuận an bình dương	4:duoi_32_ky_tu
Dự án Nam Hưng Vuong, Phường An Lạc, Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[vuong,hưng vuong,vuong phường]
đồng tiến, gia lai	4:duoi_32_ky_tu
Dự án Khu dân cư Thế kỉ 21 - Quận 2 Tp Hồ Chí Minh	1:gach_noi_giua_cap
phường linh tây thủ đức	4:duoi_32_ky_tu
mẹ nhu	4:duoi_32_ky_tu
Đường Phú Lộc 4, Đà Nẵng	4:duoi_32_ky_tu
Trần Huy Liệu - Quận 3 - Tp Hồ Chí Minh	1:gach_noi_giua_cap
20 đường sư vạn hạnh, rạch giá	4:duoi_32_ky_tu
Đường Phúc Tân, Hoàn Kiếm	4:duoi_32_ky_tu
Ford Thăng Long - Lang - Đống Đa - Hà Nội	1:gach_noi_giua_cap
Đường 10 - Cái Răng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường vành đai 2, quận 9	4:duoi_32_ky_tu
bắc trà mỹ quảng nam	4:duoi_32_ky_tu
Trần Mai Ninh Phường 11 - Tân Bình	1:gach_noi_giua_cap
Trần Hưng Đạo Quận 9	4:duoi_32_ky_tu
vietcombank tower hồ chí minh	4:duoi_32_ky_tu
đường hưng nhơn, hồ chí minh	4:duoi_32_ky_tu
phú đức bình phước	4:duoi_32_ky_tu
n11 thủ dầu một	4:duoi_32_ky_tu
đường 37 cao xanh	4:duoi_32_ky_tu
đường trường sa - tân bình tp hồ chí minh	1:gach_noi_giua_cap
đường quán khái 4	4:duoi_32_ky_tu
giải phóng - nam định	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
hữu lũng, lạng sơn	4:duoi_32_ky_tu
Đường Phùng Khắc Khoan Phường Đa Kao Quận 1 - Hồ Chí Minh	1:gach_noi_giua_cap
đường sơn thuỷ 12	4:duoi_32_ky_tu
bùi thị xuân quận 1 - hồ chí minh	1:gach_noi_giua_cap
phường 1	4:duoi_32_ky_tu
thịnh quang, trung liệt, hà nội	4:duoi_32_ky_tu
Quốc Lộ 10 Vụ Bản	4:duoi_32_ky_tu
Dự án TMS Land Hùng Vương, Phương Trung Nhi, Vĩnh Phúc	0:thieu_dau_sai_chinh_ta[trung nhi]
Tân Hòa Vĩnh Bảo Hải Phòng	4:duoi_32_ky_tu
bình an dĩ an, bình dương	4:duoi_32_ky_tu
36 quế võ bắc ninh	4:duoi_32_ky_tu
147 Võ Duy Ninh Bình Thạnh - Tp Hồ Chí Minh	1:gach_noi_giua_cap
Mỹ Đình 1	4:duoi_32_ky_tu
đường nghĩa dũng - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phố ngọc đại	4:duoi_32_ky_tu
sơn hưng tân bình	4:duoi_32_ky_tu
Xã Tân Thành Hòa Bình	4:duoi_32_ky_tu
Xuân Thiều 6, Liên Chiểu	4:duoi_32_ky_tu
đường ngô gia tự - phường ninh phong - ninh bình	1:gach_noi_giua_cap
142/ 36b - đường nguyễn thị thập - quận 7	1:gach_noi_giua_cap
đường pastuer, khánh hòa	4:duoi_32_ky_tu
Phố Xã Đàn, Đống Đa	4:duoi_32_ky_tu
Trần Nhân Ton Quận 10	4:duoi_32_ky_tu
Phố Tieu Trà	4:duoi_32_ky_tu
nha số 17 - đường 54 quận 2	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường trạm - long biên hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
58 - Nguyễn Quy Đức - Cẩm Lệ	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường phạm qúy thích - tân phú - tp hồ chí minh	1:gach_noi_giua_cap
dự án yên hoà thăng long trung hoà - cầu giấy	1:gach_noi_giua_cap
ngõ 130, phố trung kính, hà nội	4:duoi_32_ky_tu
đường số 34 p. tân quý 7	4:duoi_32_ky_tu
dự án chung cu mỹ phước, bình thạnh hồ chí minh	0:thieu_dau_sai_chinh_ta[chung cu]
đường đường tu giang, quận 5 hồ chí minh	2:trung_keyword[đường đường]
Đường Quốc Lộ 20, Thống Nhất	4:duoi_32_ky_tu
Đường 9 - Thủ Đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
xã mễ trì, nam từ liêm, hà nội	4:duoi_32_ky_tu
Trần Huy Lieu, Ba Đình, Hà Nội	4:duoi_32_ky_tu
phường linh trung	4:duoi_32_ky_tu
Đường Nguyễn Địa Lô - Sơn Trà	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Củ Chi - Tp Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
171c hoàng hoa thám, tân bình	4:duoi_32_ky_tu
ciputra tây hồ - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
17 đường nguyễn cửu đàm tân phú	4:duoi_32_ky_tu
lê hồng phong quận 10	4:duoi_32_ky_tu
xã đường lâm, sơn tây, hà nội	4:duoi_32_ky_tu
lavender city vĩnh cửu đồng nai	4:duoi_32_ky_tu
số 22 đường 71 tân quy quận 7	4:duoi_32_ky_tu
đường huỳnh văn nghệ biên hòa	4:duoi_32_ky_tu
dự án null - phan thiết - bình thuận	1:gach_noi_giua_cap
duon. g quốc lộ 1k hồ chí minh	0:thieu_dau_sai_chinh_ta[duon] | 4:duoi_32_ky_tu
Xã Bảo Quang	4:duoi_32_ky_tu
Đường Đội Cấn, Vĩnh Yên	4:duoi_32_ky_tu
phố lý thường kiệt phường 7 - quận 11 - hồ chí minh	1:gach_noi_giua_cap
đường 21 quận 12 hồ chí minh	4:duoi_32_ky_tu
chương dương golden land	4:duoi_32_ky_tu
28 huỳnh văn bánh - phú nhuận	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án vuon xuân - 71 nguyễn chí thanh đống đa	0:thieu_dau_sai_chinh_ta[vuon] | 1:gach_noi_giua_cap
Đồng Khởi - Vĩnh Cửu - Đồng Nai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nam từ liêm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nguyễn dia lộ - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
số nhà 51c	4:duoi_32_ky_tu
xã đàn - thổ quận	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
võ thị sáu ninh kiều cần thơ	4:duoi_32_ky_tu
hẻm 216 - đường lê văn thọ - quận gò vấp - hồ chí minh	1:gach_noi_giua_cap
đường dat thanh phường 6 tân bình hồ chí minh	0:thieu_dau_sai_chinh_ta[dat]
đường cát bi hải an hải phòng	4:duoi_32_ky_tu
Dự án Việt Dragon Tower - Nguyễn Du Quận 1	1:gach_noi_giua_cap
1362 - Võ Văn Kiệt - Quận 5 - Hồ Chí Minh	1:gach_noi_giua_cap
lộc nga bảo lộc - lâm đồng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
xuân tảo - bắc từ liêm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
anh sơn - nghệ an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Lê Văn Sỹ, Phường 14, Quận 3	4:duoi_32_ky_tu
331 đê la thành - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bắc ái - phường bình thọ thủ đức	1:gach_noi_giua_cap
xã long phước - đồng nai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường 13 hoà hưng	4:duoi_32_ky_tu
hương lộ 14 - long điền	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
6 - 8 đường 16 - q. thủ đức - hồ chí minh	1:gach_noi_giua_cap
Đường Yên Phúc	4:duoi_32_ky_tu
Đường Hoài Thanh, Quận 8	4:duoi_32_ky_tu
ấp 5 tân phú đồng nai	4:duoi_32_ky_tu
đường cẩm bắc 11 - hòa thọ đông - đà nẵng	1:gach_noi_giua_cap
trảng bom, đồng nai	4:duoi_32_ky_tu
đường 168, quận 9, hồ chí minh	4:duoi_32_ky_tu
bàu bàng bình dương	4:duoi_32_ky_tu
Đường Phạm Ngọc Thạch - Đống Đa. - Hà Nội	1:gach_noi_giua_cap
đường d5 - thuận an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bà điểm, hóc môn, hồ chí minh	4:duoi_32_ky_tu
Khu đô thị mới Tân Tây Đô	4:duoi_32_ky_tu
trương gia mô - huế - thừa thiên huế	1:gach_noi_giua_cap
đằng hải - hải an hải phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
2/ 3 - bàu cát 2	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Dự án Tòa nha 249A Thụy Khuê Tây Hồ - Hà Nội	1:gach_noi_giua_cap
đường nguyễn thái học - quận 1 hồ chí minh	1:gach_noi_giua_cap
đường lý thường kiệt - tp. cà mau	1:gach_noi_giua_cap
đường đường thị giang quận 12 hồ chí minh	2:trung_keyword[đường đường]
khu sadeco giải trí phường tân phong - quận 7 - hồ chí minh	1:gach_noi_giua_cap
ocean park, đống đa hà nội	4:duoi_32_ky_tu
Phúc Xá	4:duoi_32_ky_tu
đông an - dĩ an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bình an pearl	4:duoi_32_ky_tu
đường 30/ 4 vũng tàu	4:duoi_32_ky_tu
dự án mỹ khang - đường nguyễn lương bằng - quận 7 - hồ chí minh	1:gach_noi_giua_cap
văn cao hải châu - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phúc tân, hoàn kiếm	4:duoi_32_ky_tu
xuân thới 15 - hóc môn - hồ chí minh	1:gach_noi_giua_cap
đường bình quới bình thạnh	4:duoi_32_ky_tu
kim giang thành xuân nam thanh xuân hà noi	0:thieu_dau_sai_chinh_ta[hà noi]
kdc cho bình dien - nguyễn văn linh - quận 8 hồ chí minh	0:thieu_dau_sai_chinh_ta[dien] | 1:gach_noi_giua_cap
bù gia mập, bình phước	4:duoi_32_ky_tu
đường tỉnh lộ 10b - bình chánh - hồ chí minh	1:gach_noi_giua_cap
bưởi	4:duoi_32_ky_tu
quận nam từ liêm hà nội	4:duoi_32_ky_tu
đường quốc lộ 53 vũng liêm	4:duoi_32_ky_tu
thạnh lộc 41 - quận 12	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Hẻm 179 Hòa Bình - Tân Phú	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
cao ốc sông đà tower	4:duoi_32_ky_tu
phường nghĩa tân cầu giấy	4:duoi_32_ky_tu
67 lê văn tám nghệ an	4:duoi_32_ky_tu
bùi viên bình phước	4:duoi_32_ky_tu
phố thái nguyên, khánh hòa	4:duoi_32_ky_tu
3e/ 2 - phổ quang tân bình - hồ chí minh	1:gach_noi_giua_cap
Đường Hòa Bình - Bình Tân - Tp Hồ Chí Minh	1:gach_noi_giua_cap
chiền - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
thanh tân thanh liêm	4:duoi_32_ky_tu
nguyễn văn côn - gò công tiền giang	1:gach_noi_giua_cap
ái mộ - gia lâm hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Định Công - Hoàng Mai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Trung Yên 12	4:duoi_32_ky_tu
quận Bình Tân, Tp Hồ Chí Minh	4:duoi_32_ky_tu
Láng Hạ Ba Đình Hà Nội	4:duoi_32_ky_tu
đường văn quán, hà đông	4:duoi_32_ky_tu
đường lê văn đức, đà nẵng	4:duoi_32_ky_tu
an hải 20 đà nẵng	4:duoi_32_ky_tu
đường hồng lĩnh - phường 15 quận 10 hồ chí minh	1:gach_noi_giua_cap
đường 27, thủ đức	4:duoi_32_ky_tu
phường tân đông hiệp bình dương	4:duoi_32_ky_tu
river silk city - phủ lý - hà nam	1:gach_noi_giua_cap
khương trung - thanh xuân - hà nội	1:gach_noi_giua_cap
đường cát linh tràng cát hải an	4:duoi_32_ky_tu
Đường Mỹ An 19 Ngũ Hành Sơn	4:duoi_32_ky_tu
122bis minh phụng p6	4:duoi_32_ky_tu
đường 6b phước bình - quận 9	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
23/ 36 nguyễn hữu tien tân phú	0:thieu_dau_sai_chinh_ta[tien] | 4:duoi_32_ky_tu
xã vĩnh mỹ a	4:duoi_32_ky_tu
58 nguyễn quy đức, đà nẵng	4:duoi_32_ky_tu
8 đường 56 quận 7 hồ chí minh	4:duoi_32_ky_tu
228 - cộng hòa p. 12 q. tân bình	1:gach_noi_giua_cap
bình thắng dĩ an	4:duoi_32_ky_tu
đường số 12 hiệp bình phước - thủ đức - hồ chí minh	1:gach_noi_giua_cap
an dương hải phòng	4:duoi_32_ky_tu
133 phổ quang p. 9 phú nhuận	4:duoi_32_ky_tu
Đường N11 Thủ Dầu Một	4:duoi_32_ky_tu
64 Lê Đình Vũ	4:duoi_32_ky_tu
đường nguyễn thái học - quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
long châu sa việt trì, phú thọ	4:duoi_32_ky_tu
kcn long hậu - long an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
cầu trì	4:duoi_32_ky_tu
khu dân cư an phú hưng	4:duoi_32_ky_tu
109/ 82/ 19/ 46 lạch tray - lê chân hải phòng	1:gach_noi_giua_cap
hậu cần, bãi cháy, quảng ninh	4:duoi_32_ky_tu
roman plaza nam từ liêm hà nội	4:duoi_32_ky_tu
đường trung hòa - cầu giấy - hà nội	1:gach_noi_giua_cap
158 đường điện biên phủ quận 3	4:duoi_32_ky_tu
đường linh trung - thủ đức - hồ chí minh	1:gach_noi_giua_cap
đường đinh tiên hoàng sơn tây	4:duoi_32_ky_tu
lê văn tam, vũng tàu	4:duoi_32_ky_tu
phố văn kiếp - phường 7 - phú nhuận hồ chí minh	1:gach_noi_giua_cap
sonasea villas & resort phú quốc - kiến giang	1:gach_noi_giua_cap
Láng Hạ	4:duoi_32_ky_tu
Đường Chương Dương, Thủ Đức	4:duoi_32_ky_tu
đường định công thượng hoàng mai - hà nội	1:gach_noi_giua_cap
đường thiên lôi, lê chân	4:duoi_32_ky_tu
khu đô thị mới văn quán hà đông - hà nội	1:gach_noi_giua_cap
nguyễn trung trực	4:duoi_32_ky_tu
undefined Nhat Tao - Quận 10	0:thieu_dau_sai_chinh_ta[nhat] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
xã hoà lạc - an giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Trần Bình Trọng Nha Trang	4:duoi_32_ky_tu
phạm văn đồng - q. sơn trà - tp. đà nẵng	1:gach_noi_giua_cap
79 nguyễn xí	4:duoi_32_ky_tu
trần văn xá - đồng nai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường lê lai - phường an cư - cần thơ	1:gach_noi_giua_cap
3 - quốc tử giám	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
quốc lộ 91 mỹ thạnh long xuyên	4:duoi_32_ky_tu
102 đường lã xuân oai, quận 9	4:duoi_32_ky_tu
cát linh - phường tràng cát - hải an - hải phòng	1:gach_noi_giua_cap
đường tỉnh lộ 558 - hưng nguyên	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường kim giang - thanh xuân	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phố 29 gò vấp hồ chí minh	4:duoi_32_ky_tu
đường trần nhân tôn quận 10	4:duoi_32_ky_tu
Đường Số 2, Bình Tân	4:duoi_32_ky_tu
dự án n03 - t8 ngoại giao đoàn bắc từ liêm hà nội	1:gach_noi_giua_cap
đường trần đình xu, hồ chí minh	4:duoi_32_ky_tu
đường ba lan - hạ long - quảng ninh	1:gach_noi_giua_cap
